position,floor,packet_size,iteration,signal_power,tx_power,tx_time,rx_time,cell_id,ecl,snr,earfcn,pci,rsrq,operator_mode,used_energy,rlc_ul_bler,rlc_dl_bler,mac_ul_bler,rlc_ul,rlc_dl,mac_ul,mac_dl,mem_current_allocated,mem_total_free,mem_max_free,mem_num_allocs,mem_num_frees,primary_cell,rsrp,rssi
73,2,128,2,-697,210,206,1458,3091056,0,41,6446,411,-122,3,0.100,0,0,0,447,34,728,74,27848,13392,12560,816,579,1,-697,-600
73,2,128,3,-696,210,200,1511,3091056,0,45,6446,411,-121,3,0.100,0,0,0,447,34,728,74,27848,13392,12560,831,594,1,-696,-599
73,2,128,4,-699,210,204,1558,3091056,0,48,6446,411,-120,3,0.106,0,0,0,447,34,728,74,27848,13392,12560,846,609,1,-699,-604
73,2,128,5,-696,210,205,1609,3091056,0,41,6446,411,-123,3,0.100,0,0,0,447,34,728,74,27848,13392,12560,861,624,1,-696,-599
73,2,128,6,-700,160,216,1332,3091056,0,42,6446,411,-122,3,0.106,0,0,0,447,34,728,74,27848,13392,12560,876,639,1,-700,-597
73,2,128,7,-699,210,202,1415,3091056,0,34,6446,411,-125,3,0.099,0,0,0,447,34,728,74,27848,13392,12560,891,654,1,-699,-598
73,2,128,8,-694,210,205,1443,3091056,0,46,6446,411,-121,3,0.101,0,0,0,447,34,728,74,27848,13392,12560,906,669,1,-694,-599
73,2,128,9,-690,200,201,1495,3091056,0,51,6446,411,-119,3,0.098,0,0,0,447,34,728,74,27848,13392,12560,921,684,1,-690,-596
74,2,16,0,-700,180,179,1556,3091056,0,46,6446,411,-121,3,0.090,0,0,0,447,34,728,74,27848,13392,12560,937,700,1,-700,-601
74,2,16,1,-702,190,175,1353,3091056,0,38,6446,411,-123,3,0.089,0,0,0,447,34,728,74,27848,13392,12560,953,716,1,-702,-604
74,2,16,2,-772,230,549,2172,3091056,0,83,6446,411,-113,3,0.294,0,0,0,447,34,728,74,27848,13392,12560,969,732,1,-772,-689
74,2,16,3,-753,210,292,1197,3091056,0,96,6446,411,-111,3,0.163,0,0,0,447,34,728,74,27848,13392,12560,985,748,1,-753,-667
74,2,16,4,-754,210,297,1282,3091056,0,95,6446,411,-110,3,0.161,0,0,0,447,34,728,74,27848,13392,12560,1001,764,1,-754,-675
74,2,16,5,-755,210,292,1381,3091056,0,111,6446,411,-108,3,0.163,0,0,0,447,34,728,74,27848,13392,12560,1017,780,1,-755,-667
74,2,16,6,-760,210,297,1523,3091056,0,96,6446,411,-111,3,0.171,0,0,0,447,34,728,74,27848,13392,12560,1033,796,1,-760,-672
74,2,16,7,-753,210,292,1240,3091056,0,114,6446,411,-109,3,0.166,0,0,0,447,34,728,74,27848,13392,12560,1049,812,1,-753,-668
74,2,16,8,-750,210,296,1392,3091056,0,95,6446,411,-111,3,0.166,0,0,0,447,34,728,74,27848,13392,12560,1065,828,1,-750,-669
74,2,16,9,-755,210,297,1405,3091056,0,109,6446,411,-109,3,0.168,0,0,0,447,34,728,74,27848,13392,12560,1081,844,1,-755,-677
74,2,32,0,-752,200,298,1439,3091056,0,104,6446,411,-109,3,0.161,0,0,0,447,34,728,74,27848,13392,12560,1097,860,1,-752,-673
74,2,32,1,-756,210,301,1233,3091056,0,89,6446,411,-111,3,0.170,0,0,0,447,34,728,74,27848,13392,12560,1113,876,1,-756,-672
74,2,32,2,-751,200,294,1215,3091056,0,106,6446,411,-109,3,0.160,0,0,0,447,34,728,74,27848,13392,12560,1129,892,1,-751,-666
74,2,32,3,-755,210,555,1907,3091056,0,108,6446,411,-108,3,0.276,0,0,0,447,34,728,74,27848,13392,12560,1145,908,1,-755,-674
74,2,32,4,-754,210,299,1268,3091056,0,99,6446,411,-109,3,0.161,0,0,0,447,34,728,74,27848,13392,12560,1161,924,1,-754,-674
74,2,32,5,-755,210,300,1304,3091056,0,121,6446,411,-108,3,0.168,0,0,0,447,34,728,74,27848,13392,12560,1177,940,1,-755,-677
74,2,32,6,-759,210,294,1356,3091056,0,94,6446,411,-111,3,0.168,0,0,0,447,34,728,74,27848,13392,12560,1193,956,1,-759,-669
74,2,32,7,-757,210,301,1475,3091056,0,111,6446,411,-109,3,0.169,0,0,0,447,34,728,74,27848,13392,12560,1209,972,1,-757,-672
74,2,32,8,-758,210,299,1441,3091056,0,99,6446,411,-109,3,0.167,0,0,0,447,34,728,74,27848,13392,12560,1225,988,1,-758,-678
74,2,32,9,-761,210,300,1159,3091056,0,95,6446,411,-110,3,0.165,0,0,0,447,34,728,74,27848,13392,12560,1241,1004,1,-761,-681
74,2,64,0,-754,210,319,1465,3091056,0,119,6446,411,-108,3,0.178,0,0,0,447,34,728,74,27848,13392,12560,1256,1019,1,-754,-676
74,2,64,1,-755,210,321,1383,3091056,0,104,6446,411,-109,3,0.177,0,0,0,447,34,728,74,27848,13392,12560,1271,1034,1,-755,-677
74,2,64,2,-752,210,321,1309,3091056,0,110,6446,411,-108,3,0.180,0,0,0,447,34,728,74,27848,13392,12560,1286,1049,1,-752,-674
74,2,64,3,-752,200,322,1546,3091056,0,107,6446,411,-109,3,0.181,0,0,0,447,34,728,74,27848,13392,12560,1301,1064,1,-752,-674
74,2,64,4,-755,210,533,2113,3091056,0,108,6446,411,-109,3,0.266,0,0,0,447,34,728,74,27848,13392,12560,1316,1079,1,-755,-669
74,2,64,5,-756,210,321,1394,3091056,0,105,6446,411,-109,3,0.178,0,0,0,447,34,728,74,27848,13392,12560,1331,1094,1,-756,-677
74,2,64,6,-753,210,322,1307,3091056,0,103,6446,411,-110,3,0.181,0,0,0,447,34,728,74,27848,13392,12560,1346,1109,1,-753,-667
74,2,64,7,-756,200,321,1239,3091056,0,116,6446,411,-109,3,0.173,0,0,0,447,34,728,74,27848,13392,12560,1361,1124,1,-756,-649
74,2,64,8,-753,210,324,1491,3091056,0,104,6446,411,-109,3,0.183,0,0,0,447,34,728,74,27848,13392,12560,1376,1139,1,-753,-666
74,2,64,9,-752,200,322,1414,3091056,0,106,6446,411,-108,3,0.177,0,0,0,447,34,728,74,27848,13392,12560,1391,1154,1,-752,-676
74,2,128,0,-756,210,376,1486,3091056,0,85,6446,411,-113,3,0.209,0,0,0,447,34,728,74,27848,13392,12560,1406,1169,1,-756,-666
74,2,128,1,-754,210,371,1150,3091056,0,104,6446,411,-108,3,0.198,0,0,0,447,34,728,74,27848,13392,12560,1421,1184,1,-754,-675
74,2,128,2,-754,210,370,1189,3091056,0,98,6446,411,-111,3,0.206,0,0,0,447,34,728,74,27848,13392,12560,1436,1199,1,-754,-674
74,2,128,3,-757,210,378,1294,3091056,0,89,6446,411,-112,3,0.207,0,0,0,447,34,728,74,27848,13392,12560,1451,1214,1,-757,-669
74,2,128,4,-750,200,369,1273,3091056,0,121,6446,411,-108,3,0.203,0,0,0,447,34,728,74,27848,13392,12560,1466,1229,1,-750,-674
74,2,128,5,-752,210,581,1952,3091056,0,116,6446,411,-108,3,0.294,0,0,0,447,34,728,74,27848,13392,12560,1481,1244,1,-752,-674
74,2,128,6,-747,200,370,1332,3091056,0,121,6446,411,-108,3,0.198,0,0,0,447,34,728,74,27848,13392,12560,1496,1259,1,-747,-670
74,2,128,7,-748,200,377,1422,3091056,0,93,6446,411,-111,3,0.197,0,0,0,447,34,728,74,27848,13392,12560,1511,1274,1,-748,-658
74,2,128,8,-762,210,371,1405,3091056,0,95,6446,411,-111,3,0.206,0,0,0,447,34,728,74,27848,13392,12560,1526,1289,1,-762,-682
74,2,128,9,-760,210,375,1500,3091056,0,89,6446,411,-112,3,0.211,0,0,0,447,34,728,74,27848,13392,12560,1541,1304,1,-760,-673
75,2,16,0,-714,170,303,1242,3091056,0,76,6446,411,-114,3,0.142,0,0,0,447,34,728,74,27848,13392,12560,1557,1320,1,-714,-623
75,2,16,1,-717,170,292,1247,3091056,0,79,6446,411,-112,3,0.136,0,0,0,447,34,728,74,27848,13392,12560,1573,1336,1,-717,-623
75,2,16,2,-714,170,292,1326,3091056,0,81,6446,411,-113,3,0.139,0,0,0,447,34,728,74,27848,13392,12560,1589,1352,1,-714,-621
75,2,16,3,-713,170,295,1485,3091056,0,82,6446,411,-112,3,0.139,0,0,0,447,34,728,74,27848,13392,12560,1605,1368,1,-713,-628
75,2,16,4,-718,200,180,1209,3091056,0,76,6446,411,-113,3,0.091,0,0,0,447,34,728,74,27848,13392,12560,1621,1384,1,-718,-627
75,2,16,5,-720,170,293,1262,3091056,0,74,6446,411,-114,3,0.140,0,0,0,447,34,728,74,27848,13392,12560,1637,1400,1,-720,-625
75,2,16,6,-719,200,396,2601,3091056,0,71,6446,411,-115,3,0.176,0,0,0,447,34,728,74,27848,13392,12560,1653,1416,1,-719,-630
75,2,16,7,-714,170,331,1808,3091056,0,82,6446,411,-112,3,0.156,0,0,0,447,34,728,74,27848,13392,12560,1669,1432,1,-714,-629
75,2,16,8,-721,170,294,1186,3091056,0,69,6446,411,-115,3,0.137,0,0,0,447,34,728,74,27848,13392,12560,1685,1448,1,-721,-632
75,2,16,9,-715,170,297,1353,3091056,0,79,6446,411,-113,3,0.140,0,0,0,447,34,728,74,27848,13392,12560,1701,1464,1,-715,-629
75,2,32,0,-716,170,300,1395,3091056,0,82,6446,411,-112,3,0.139,0,0,0,447,34,728,74,27848,13392,12560,1717,1480,1,-716,-629
75,2,32,1,-723,180,299,1356,3091056,0,77,6446,411,-113,3,0.145,0,0,0,447,34,728,74,27848,13392,12560,1733,1496,1,-723,-635
75,2,32,2,-720,180,299,1392,3091056,0,84,6446,411,-112,3,0.143,0,0,0,447,34,728,74,27848,13392,12560,1749,1512,1,-720,-633
75,2,32,3,-709,160,295,1439,3091056,0,92,6446,411,-111,3,0.135,0,0,0,447,34,728,74,27848,13392,12560,1765,1528,1,-709,-622
75,2,32,4,-716,170,300,1213,3091056,0,78,6446,411,-113,3,0.142,0,0,0,447,34,728,74,27848,13392,12560,1781,1544,1,-716,-630
75,2,32,5,-718,170,300,1251,3091056,0,75,6446,411,-114,3,0.138,0,0,0,447,34,728,74,27848,13392,12560,1797,1560,1,-718,-628
75,2,32,6,-716,170,302,1278,3091056,0,71,6446,411,-115,3,0.140,0,0,0,447,34,728,74,27848,13392,12560,1813,1576,1,-716,-625
75,2,32,7,-716,170,556,1913,3091056,0,76,6446,411,-113,3,0.233,0,0,0,447,34,728,74,27848,13392,12560,1829,1592,1,-716,-629
75,2,32,8,-720,170,336,1647,3091056,0,70,6446,411,-115,3,0.158,0,0,0,447,34,728,74,27848,13392,12560,1845,1608,1,-720,-621
75,2,32,9,-713,170,294,1398,3091056,0,81,6446,411,-113,3,0.139,0,0,0,447,34,728,74,27848,13392,12560,1861,1624,1,-713,-627
75,2,64,0,-716,160,321,1298,3091056,0,79,6446,411,-113,3,0.145,0,0,0,447,34,728,74,27848,13392,12560,1876,1639,1,-716,-629
75,2,64,1,-715,180,321,1229,3091056,0,78,6446,411,-113,3,0.151,0,0,0,447,34,728,74,27848,13392,12560,1891,1654,1,-715,-631
75,2,64,2,-718,170,320,1482,3091056,0,71,6446,411,-115,3,0.149,0,0,0,447,34,728,74,27848,13392,12560,1906,1669,1,-718,-632
75,2,64,3,-716,180,323,1416,3091056,0,73,6446,411,-114,3,0.153,0,0,0,447,34,728,74,27848,13392,12560,1921,1684,1,-716,-629
75,2,64,4,-717,160,319,1341,3091056,0,77,6446,411,-113,3,0.148,0,0,0,447,34,728,74,27848,13392,12560,1936,1699,1,-717,-630
75,2,64,5,-715,170,321,1274,3091056,0,96,6446,411,-111,3,0.148,0,0,0,447,34,728,74,27848,13392,12560,1951,1714,1,-715,-625
75,2,64,6,-717,170,322,1199,3091056,0,80,6446,411,-113,3,0.147,0,0,0,447,34,728,74,27848,13392,12560,1966,1729,1,-717,-624
75,2,64,7,-718,170,353,1752,3091056,0,72,6446,411,-114,3,0.164,0,0,0,447,34,728,74,27848,13392,12560,1981,1744,1,-718,-632
75,2,64,8,-715,170,533,2021,3091056,0,60,6446,411,-118,3,0.218,0,0,0,447,34,728,74,27848,13392,12560,1996,1759,1,-715,-624
75,2,64,9,-721,210,185,1362,3091056,0,65,6446,411,-116,3,0.094,0,0,0,447,34,728,74,27848,13392,12560,2011,1774,1,-721,-622
75,2,128,0,-711,170,376,1450,3091056,0,73,6446,411,-114,3,0.172,0,0,0,447,34,728,74,27848,13392,12560,2026,1789,1,-711,-625
75,2,128,1,-722,170,376,1411,3091056,0,53,6446,411,-121,3,0.168,0,0,0,447,34,728,74,27848,13392,12560,2041,1804,1,-722,-621
75,2,128,2,-711,160,376,1528,3091056,0,82,6446,411,-112,3,0.170,0,0,0,447,34,728,74,27848,13392,12560,2056,1819,1,-711,-626
75,2,128,3,-715,170,379,1486,3091056,0,86,6446,411,-114,3,0.172,0,0,0,447,34,728,74,27848,13392,12560,2071,1834,1,-715,-622
75,2,128,4,-714,170,370,1469,3091056,0,86,6446,411,-112,3,0.170,0,0,0,447,34,728,74,27848,13392,12560,2086,1849,1,-714,-631
75,2,128,5,-719,170,369,1184,3091056,0,78,6446,411,-113,3,0.164,0,0,0,447,34,728,74,27848,13392,12560,2101,1864,1,-719,-632
75,2,128,6,-715,180,372,1225,3091056,0,79,6446,411,-113,3,0.173,0,0,0,447,34,728,74,27848,13392,12560,2116,1879,1,-715,-631
75,2,128,7,-717,170,371,1262,3091056,0,69,6446,411,-115,3,0.167,0,0,0,447,34,728,74,27848,13392,12560,2131,1894,1,-717,-631
75,2,128,8,-719,170,375,1363,3091056,0,76,6446,411,-114,3,0.170,0,0,0,447,34,728,74,27848,13392,12560,2146,1909,1,-719,-631
75,2,128,9,-715,170,601,1956,3091056,0,75,6446,411,-114,3,0.240,0,0,0,447,34,728,74,27848,13392,12560,2161,1924,1,-715,-629
76,2,16,0,-822,220,409,1512,3091056,0,24,6446,411,-128,3,0.193,0,0,0,447,34,728,74,27848,13392,12560,2177,1940,1,-822,-713
76,2,16,1,-829,230,407,1457,3091056,0,8,6446,411,-136,3,0.184,0,0,0,447,34,728,74,27848,13392,12560,2193,1956,1,-829,-713
76,2,16,2,-801,200,405,1234,3082353,0,5,6446,326,-138,3,0.161,0,0,0,447,34,728,74,27848,13392,12560,2209,1972,1,-801,-688
76,2,16,3,-822,230,924,3695,3091056,0,17,6446,411,-131,3,0.705,0,0,0,447,34,728,74,27848,13392,12560,2225,1988,1,-828,-705
76,2,16,4,-825,230,2029,1886,3091056,0,9,6446,411,-135,3,0.332,0,0,0,447,37,662,81,27848,13392,12560,2241,2004,1,-825,-710
76,2,16,5,-816,230,599,1431,3091056,0,19,6446,411,-131,3,0.264,0,0,0,447,37,662,81,27848,13392,12560,2257,2020,1,-816,-706
76,2,16,6,-828,230,1088,2921,3091056,0,11,6446,411,-134,3,0.781,0,0,0,447,37,662,81,27848,13392,12560,2273,2036,1,-824,-705
76,2,16,7,-826,230,1706,2357,3091056,0,8,6446,411,-135,3,0.186,0,0,0,447,36,654,79,27848,13392,12560,2289,2052,1,-826,-714
76,2,16,8,-821,230,409,1567,3091056,0,10,6446,411,-134,3,0.189,0,0,0,447,36,654,79,27848,13392,12560,2305,2068,1,-821,-709
76,2,16,9,-824,230,602,1828,3091056,0,10,6446,411,-135,3,0.278,0,0,0,447,36,654,79,27848,13392,12560,2321,2084,1,-824,-708
76,2,32,0,-830,230,1927,2754,3091056,0,4,6446,411,-137,3,0.888,0,0,0,447,36,654,79,27848,13392,12560,2337,2100,1,-825,-708
76,2,32,1,-819,230,3663,3325,3091056,0,17,6446,411,-131,3,1.091,0,0,0,296,101,637,184,27848,13392,12560,2353,2116,1,-834,-707
76,2,32,2,-818,230,2462,3624,3091056,0,19,6446,411,-130,3,0.801,0,0,0,296,36,692,79,27848,13392,12560,2369,2132,1,-826,-701
76,2,32,3,-826,230,1752,3855,3091056,0,9,6446,411,-135,3,0.805,0,0,0,296,36,695,80,27848,13392,12560,2385,2148,1,-817,-700
76,2,32,4,-826,220,1717,1968,3091056,0,0,6446,411,-140,3,0.182,0,0,0,296,37,701,81,27848,13392,12560,2401,2164,1,-826,-708
76,2,32,5,-824,230,1905,2777,3091056,0,8,6446,411,-135,3,0.798,0,0,0,296,37,701,81,27848,13392,12560,2417,2180,1,-829,-707
76,2,32,6,-830,230,960,2202,3091056,0,0,6446,411,-139,3,0.187,0,0,0,296,36,692,79,27848,13392,12560,2433,2196,1,-830,-713
76,2,32,7,-824,230,602,1598,3091056,0,17,6446,411,-132,3,0.275,0,0,0,296,36,692,79,27848,13392,12560,2449,2212,1,-824,-712
76,2,32,8,-828,230,416,1269,3091056,0,6,6446,411,-137,3,0.188,0,0,0,296,36,692,79,27848,13392,12560,2465,2228,1,-828,-711
76,2,32,9,-828,230,1190,2891,3091056,0,16,6446,411,-132,3,0.809,0,0,0,296,36,692,79,27848,13392,12560,2481,2244,1,-820,-701
76,2,64,0,-826,230,1702,2450,3091056,0,5,6446,411,-137,3,0.204,0,0,0,296,36,693,79,27848,13392,12560,2496,2259,1,-826,-713
76,2,64,1,-827,230,1396,2871,3091056,0,9,6446,411,-135,3,0.935,0,0,0,296,36,693,79,27848,13392,12560,2511,2274,1,-821,-692
76,2,64,2,-821,230,3188,4286,3091056,0,9,6446,411,-135,3,0.856,0,0,0,119,94,747,77,27848,13392,12560,2526,2289,1,-827,-712
76,2,64,3,-827,230,999,5554,3091056,0,6,6446,411,-136,3,0.692,0,0,0,108,94,222,4,27848,13392,12560,2541,2304,1,-822,-710
76,2,64,4,-824,90,607,6134,3091056,0,8,6446,411,-135,3,0.425,0,0,0,109,94,222,4,27848,13392,12560,2556,2319,1,-827,-704
76,2,64,5,-821,230,882,2864,3091056,0,13,6446,411,-133,3,0.251,0,0,0,109,9,222,4,27848,13392,12560,2571,2334,1,-821,-709
76,2,64,6,-832,230,460,1637,3091056,0,15,6446,411,-133,3,0.211,0,0,0,109,9,222,4,27848,13392,12560,2586,2349,1,-832,-706
76,2,64,7,-835,230,1396,2706,3091056,1,-6,6446,411,-143,3,0.877,0,0,0,109,9,222,4,27848,13392,12560,2601,2364,1,-831,-709
76,2,64,8,-828,230,2681,3608,3091056,0,3,6446,411,-138,3,0.862,0,0,0,109,34,733,74,27848,13392,12560,2616,2379,1,-819,-701
76,2,64,9,-826,230,1629,2494,3091056,0,2,6446,411,-138,3,0.167,0,0,0,109,34,728,74,27848,13392,12560,2631,2394,1,-826,-708
76,2,128,0,-824,230,510,1415,3091056,0,3,6446,411,-138,3,0.225,0,0,0,109,34,728,74,27848,13392,12560,2646,2409,1,-824,-708
76,2,128,1,-827,230,803,1476,3091056,0,3,6446,411,-138,3,0.340,0,0,0,109,34,728,74,27848,13392,12560,2661,2424,1,-827,-709
76,2,128,2,-838,230,1772,2942,3091056,1,-8,6446,411,-144,3,0.749,0,0,0,109,34,728,74,27848,13392,12560,2676,2439,1,-843,-708
76,2,128,3,-822,230,2398,3428,3091056,0,10,6446,411,-134,3,0.730,0,0,0,109,34,687,87,27848,13392,12560,2691,2454,1,-822,-706
76,2,128,4,-831,230,2328,3492,3091056,0,1,6446,411,-138,3,0.833,0,0,0,109,39,688,86,27848,13392,12560,2706,2469,1,-835,-699
76,2,128,5,-827,230,2348,2281,3091056,0,3,6446,411,-138,3,0.545,0,0,0,386,94,717,171,27848,13392,12560,2721,2484,1,-827,-711
76,2,128,6,-838,230,510,1549,3091056,1,-12,6446,411,-147,3,0.230,0,0,0,386,94,717,171,27848,13392,12560,2736,2499,1,-838,-704
76,2,128,7,-832,230,1815,2697,3091056,0,4,6446,411,-137,3,0.739,0,0,0,386,94,717,171,27848,13392,12560,2751,2514,1,-825,-707
76,2,128,8,-824,230,2329,3466,3091056,0,15,6446,411,-132,3,0.744,0,0,0,386,39,688,86,27848,13392,12560,2768,2531,1,-831,-703
76,2,128,9,-827,230,1092,1924,3091056,0,9,6446,411,-137,3,0.220,0,0,0,386,39,687,87,27848,13392,12560,2783,2546,1,-827,-709
77,2,16,0,-810,210,396,1210,3091056,0,36,6446,411,-125,3,0.154,0,0,0,386,39,687,87,27848,13392,12560,2799,2562,1,-810,-717
77,2,16,1,-804,200,394,1292,3091056,0,34,6446,411,-125,3,0.155,0,0,0,386,39,687,87,27848,13392,12560,2815,2578,1,-804,-710
77,2,16,2,-798,200,397,1371,3091056,0,39,6446,411,-123,3,0.165,0,0,0,386,39,687,87,27848,13392,12560,2831,2594,1,-798,-705
77,2,16,3,-793,200,397,1218,3091056,0,49,6446,411,-120,3,0.157,0,0,0,386,39,687,87,27848,13392,12560,2847,2610,1,-793,-700
77,2,16,4,-796,200,393,1222,3091056,0,43,6446,411,-123,3,0.163,0,0,0,386,39,687,87,27848,13392,12560,2863,2626,1,-796,-703
77,2,16,5,-800,230,1150,2196,3091056,0,42,6446,411,-122,3,0.474,0,0,0,386,39,687,87,27848,13392,12560,2879,2642,1,-800,-700
77,2,16,6,-799,200,397,1455,3091056,0,41,6446,411,-123,3,0.160,0,0,0,386,39,687,87,27848,13392,12560,2895,2658,1,-799,-701
77,2,16,7,-799,200,397,1214,3091056,0,28,6446,411,-127,3,0.157,0,0,0,386,39,687,87,27848,13392,12560,2911,2674,1,-799,-698
77,2,16,8,-799,210,397,1215,3091056,0,36,6446,411,-124,3,0.168,0,0,0,386,39,687,87,27848,13392,12560,2927,2690,1,-799,-705
77,2,16,9,-801,210,408,1509,3091056,0,37,6446,411,-124,3,0.176,0,0,0,386,39,687,87,27848,13392,12560,2943,2706,1,-801,-699
77,2,32,0,-806,220,401,1312,3091056,0,33,6446,411,-126,3,0.174,0,0,0,386,39,687,87,27848,13392,12560,2959,2722,1,-806,-709
77,2,32,1,-804,210,405,1414,3091056,0,27,6446,411,-128,3,0.177,0,0,0,386,39,687,87,27848,13392,12560,2975,2738,1,-804,-706
77,2,32,2,-804,220,405,1448,3091056,0,27,6446,411,-127,3,0.180,0,0,0,386,39,687,87,27848,13392,12560,2991,2754,1,-804,-707
77,2,32,3,-799,200,404,1406,3091056,0,39,6446,411,-123,3,0.160,0,0,0,386,39,687,87,27848,13392,12560,3007,2770,1,-799,-705
77,2,32,4,-801,210,404,1269,3091056,0,36,6446,411,-124,3,0.165,0,0,0,386,39,687,87,27848,13392,12560,3023,2786,1,-801,-700
77,2,32,5,-803,210,404,1145,3091056,0,41,6446,411,-123,3,0.169,0,0,0,386,39,687,87,27848,13392,12560,3039,2802,1,-803,-711
77,2,32,6,-798,200,827,1768,3091056,0,43,6446,411,-122,3,0.294,0,0,0,386,39,687,87,27848,13392,12560,3055,2818,1,-798,-703
77,2,32,7,-798,210,405,1270,3091056,0,42,6446,411,-122,3,0.162,0,0,0,386,39,687,87,27848,13392,12560,3071,2834,1,-798,-704
